区,職種,駅名,住所,キャッチコピー,タイトル,仕事内容,アピールポイント
江戸川区,インサイドセールス,船堀,東京都江戸川区中央一丁目,未経験OK◎資料送付とヒアリング中心の営業！,経験不問｜内勤営業（インサイドセールス）｜江戸川区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都江戸川区で募集中／
まずは話を聞くところから。
オンライン商談のインサイドセールス◎
✦・━━━━━━━━━━━━━━━・✦

「外まわりは体力的にきつい」
「移動時間がもったいない」

商談はオンラインと電話で進めます。訪問はありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ 反響対応（問い合わせ・資料請求への連絡）

■ ヒアリング（検討状況・ご要望の確認）

■ 資料のご案内（ご状況に合わせた内容で）

■ オンライン商談（画面共有でのご説明）

■ 記録・引き継ぎ（所定のフォーマットに入力）

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 営業経験は必要ありません
✔ 商談はオンラインと電話で進めます
✔ 確認する項目は決まっています
✔ やり取りの記録はフォーマットに沿って入力します

業務に必要な知識は、ご入社後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都江戸川区中央一丁目（船堀駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼働き方のポイント✼》

✅ ① 1 日の予定が立てやすい仕事です
外まわりがないため、連絡と商談の時間を組み立てられます。

✅ ② 一次対応から順に覚えられます
はじめはお問い合わせへのご連絡から。
慣れてきたら商談まで担当を広げます。

✅ ③ 数字の追い方が見えやすい仕事です
対応件数や商談数など、進み具合が記録に残ります。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 訪問営業ではない働き方を探している方
✔ メールや文章でのやり取りが苦でない方
✔ 記録をこまめに残せる方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
千代田区,保険営業,九段下,東京都千代田区九段南一丁目,未経験OK◎暮らしに合わせた保険のご提案♪,未経験OK｜保険の提案営業｜千代田区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都千代田区で募集中／
ご家庭の事情は、ひとつとして同じではありません。
話を聞くところからはじめる保険営業◎
✦・━━━━━━━━━━━━━━━・✦

「保険の知識がまったくない」
「金融の経験も資格もない」

知識は入社後に身につける前提のお仕事です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ ご相談の受付
お問い合わせやご紹介をいただいた方へご連絡します。

■ ヒアリング
ご家族の構成、働き方、将来の予定などをうかがいます。

■ ご状況の整理
うかがった内容をもとに、今の備えを整理します。

■ ご提案
ご状況に合う保障の内容をご説明します。

■ お手続き・アフターフォロー
ご契約後のご連絡やご相談にも対応します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 保険や金融の知識は入社後に身につけます
✔ ご案内の流れと説明する項目は決まっています
✔ 一度の面談で決めていただく仕事ではありません
✔ ご相談をうかがうところからはじまります

保険の募集には保険募集人の登録が必要です。登録の進め方は応募後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都千代田区九段南一丁目（九段下駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼このお仕事の特徴✼》

✅ ① 聞くことからはじまる仕事です
ご家族の構成や働き方、将来のご予定をうかがったうえで
ご状況に合う内容をご案内します。

✅ ② 説明する項目が決まっています
保障の内容とご負担の考え方は、資料と手順に沿ってご説明します。

✅ ③ ご契約後も関わり続けます
ご状況が変われば見直しのご相談に応じます。
売って終わりの仕事ではありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話をじっくり聞ける方
✔ 相手の状況に合わせて考えられる方
✔ 長く関わる仕事を探している方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
中央区,保険営業,築地,東京都中央区築地一丁目,反響からスタート◎暮らしに合わせた保険のご提案◎,未経験歓迎｜保険の提案営業｜中央区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都中央区で募集中／
売り込む前に、まず聞く。
ライフプランから考える保険提案◎
✦・━━━━━━━━━━━━━━━・✦

「保険の知識がまったくない」
「金融の経験も資格もない」

知識は入社後に身につける前提のお仕事です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ ご相談の受付
お問い合わせやご紹介をいただいた方へご連絡します。

■ ヒアリング
ご家族の構成、働き方、将来の予定などをうかがいます。

■ ご状況の整理
うかがった内容をもとに、今の備えを整理します。

■ ご提案
ご状況に合う保障の内容をご説明します。

■ お手続き・アフターフォロー
ご契約後のご連絡やご相談にも対応します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 保険や金融の知識は入社後に身につけます
✔ ご案内の流れと説明する項目は決まっています
✔ 一度の面談で決めていただく仕事ではありません
✔ ご相談をうかがうところからはじまります

保険の募集には保険募集人の登録が必要です。登録の進め方は応募後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都中央区築地一丁目（築地駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼ここがはじめやすい✼》

✅ ① 聞くことからはじまる仕事です
ご家族の構成や働き方、将来のご予定をうかがったうえで
ご状況に合う内容をご案内します。

✅ ② 説明する項目が決まっています
保障の内容とご負担の考え方は、資料と手順に沿ってご説明します。

✅ ③ ご契約後も関わり続けます
ご状況が変われば見直しのご相談に応じます。
売って終わりの仕事ではありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話をじっくり聞ける方
✔ 相手の状況に合わせて考えられる方
✔ 長く関わる仕事を探している方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
港区,保険営業,御成門,東京都港区芝公園一丁目,研修からはじまる◎暮らしに合わせた保険のご提案！,経験不問｜保険の提案営業｜港区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都港区で募集中／
備えの相談に、時間をかけて向き合う。
未経験からはじめる保険のご案内◎
✦・━━━━━━━━━━━━━━━・✦

「保険の知識がまったくない」
「金融の経験も資格もない」

知識は入社後に身につける前提のお仕事です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ 訪問・面談の日程調整
ご都合をうかがい、面談の日時を決めます。

■ 面談
ご家庭の状況と、気になっていることをうかがいます。

■ 資料の準備
うかがった内容に合わせて、ご案内する資料を用意します。

■ ご説明
保障の内容と、ご負担の考え方をご説明します。

■ 継続的なご連絡
ご契約後も、ご状況の変化にあわせてご相談に応じます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 保険や金融の知識は入社後に身につけます
✔ ご案内の流れと説明する項目は決まっています
✔ 一度の面談で決めていただく仕事ではありません
✔ ご相談をうかがうところからはじまります

保険の募集には保険募集人の登録が必要です。登録の進め方は応募後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都港区芝公園一丁目（御成門駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼働き方のポイント✼》

✅ ① 聞くことからはじまる仕事です
ご家族の構成や働き方、将来のご予定をうかがったうえで
ご状況に合う内容をご案内します。

✅ ② 説明する項目が決まっています
保障の内容とご負担の考え方は、資料と手順に沿ってご説明します。

✅ ③ ご契約後も関わり続けます
ご状況が変われば見直しのご相談に応じます。
売って終わりの仕事ではありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話をじっくり聞ける方
✔ 相手の状況に合わせて考えられる方
✔ 長く関わる仕事を探している方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
新宿区,保険営業,新宿,東京都新宿区歌舞伎町一丁目,じっくり型歓迎◎暮らしに合わせた保険のご提案☆,はじめてOK｜保険の提案営業｜新宿区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都新宿区で募集中／
「今のままでいいのかな」に応える仕事。
保険の提案営業スタッフ募集◎
✦・━━━━━━━━━━━━━━━・✦

「保険の知識がまったくない」
「金融の経験も資格もない」

知識は入社後に身につける前提のお仕事です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ 訪問・面談の日程調整
ご都合をうかがい、面談の日時を決めます。

■ 面談
ご家庭の状況と、気になっていることをうかがいます。

■ 資料の準備
うかがった内容に合わせて、ご案内する資料を用意します。

■ ご説明
保障の内容と、ご負担の考え方をご説明します。

■ 継続的なご連絡
ご契約後も、ご状況の変化にあわせてご相談に応じます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 業界経験は必要ありません
✔ ご家庭の状況をうかがうことが出発点です
✔ 説明する順番は決まっています
✔ ご契約後のご相談にも継続して対応します

保険の募集には保険募集人の登録が必要です。登録の進め方は応募後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都新宿区歌舞伎町一丁目（新宿駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼仕事のすすめ方✼》

✅ ① 聞くことからはじまる仕事です
ご家族の構成や働き方、将来のご予定をうかがったうえで
ご状況に合う内容をご案内します。

✅ ② 説明する項目が決まっています
保障の内容とご負担の考え方は、資料と手順に沿ってご説明します。

✅ ③ ご契約後も関わり続けます
ご状況が変われば見直しのご相談に応じます。
売って終わりの仕事ではありません。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話をじっくり聞ける方
✔ 相手の状況に合わせて考えられる方
✔ 長く関わる仕事を探している方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
文京区,保険営業,春日,東京都文京区春日一丁目,経験不問◎暮らしに合わせた保険のご提案✨,未経験OK｜保険営業（ライフプラン提案）｜文京区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都文京区で募集中／
ご家庭の事情は、ひとつとして同じではありません。
話を聞くところからはじめる保険営業◎
✦・━━━━━━━━━━━━━━━・✦

「強く勧めるのは気が進まない」
「ノルマに追われるのは避けたい」

ご相談をうかがい、ご状況に合う内容をご案内するのが役割です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ ご相談の受付（お問い合わせ・ご紹介への対応）

■ ヒアリング（ご家族構成・働き方・将来のご予定）

■ ご状況の整理（今の備えの確認）

■ ご提案（ご状況に合う保障内容のご説明）

■ アフターフォロー（ご契約後のご相談対応）

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 業界経験は必要ありません
✔ ご家庭の状況をうかがうことが出発点です
✔ 説明する順番は決まっています
✔ ご契約後のご相談にも継続して対応します

保険の募集には保険募集人の登録が必要です。登録の進め方は応募後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都文京区春日一丁目（春日駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼このお仕事の特徴✼》

✅ ① 知識は入社後に身につけます
保険や金融の経験がない方を前提にしたお仕事です。

✅ ② 一度で決めていただく仕事ではありません
検討に時間をかけたいというご要望にも合わせて進めます。

✅ ③ ご相談の入口はさまざまです
お問い合わせ、ご紹介など、
ご相談をいただくところから関係がはじまります。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話をじっくり聞ける方
✔ 相手の状況に合わせて考えられる方
✔ 長く関わる仕事を探している方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
台東区,保険営業,上野,東京都台東区東上野四丁目,未経験OK◎ライフプランから考える保険の営業♪,未経験歓迎｜保険営業（ライフプラン提案）｜台東区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都台東区で募集中／
売り込む前に、まず聞く。
ライフプランから考える保険提案◎
✦・━━━━━━━━━━━━━━━・✦

「強く勧めるのは気が進まない」
「ノルマに追われるのは避けたい」

ご相談をうかがい、ご状況に合う内容をご案内するのが役割です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ ご相談の受付（お問い合わせ・ご紹介への対応）

■ ヒアリング（ご家族構成・働き方・将来のご予定）

■ ご状況の整理（今の備えの確認）

■ ご提案（ご状況に合う保障内容のご説明）

■ アフターフォロー（ご契約後のご相談対応）

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 業界経験は必要ありません
✔ ご家庭の状況をうかがうことが出発点です
✔ 説明する順番は決まっています
✔ ご契約後のご相談にも継続して対応します

保険の募集には保険募集人の登録が必要です。登録の進め方は応募後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都台東区東上野四丁目（上野駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼ここがはじめやすい✼》

✅ ① 知識は入社後に身につけます
保険や金融の経験がない方を前提にしたお仕事です。

✅ ② 一度で決めていただく仕事ではありません
検討に時間をかけたいというご要望にも合わせて進めます。

✅ ③ ご相談の入口はさまざまです
お問い合わせ、ご紹介など、
ご相談をいただくところから関係がはじまります。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話をじっくり聞ける方
✔ 相手の状況に合わせて考えられる方
✔ 長く関わる仕事を探している方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
墨田区,保険営業,本所吾妻橋,東京都墨田区吾妻橋一丁目,反響からスタート◎ライフプランから考える保険の営業◎,経験不問｜保険営業（ライフプラン提案）｜墨田区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都墨田区で募集中／
備えの相談に、時間をかけて向き合う。
未経験からはじめる保険のご案内◎
✦・━━━━━━━━━━━━━━━・✦

「強く勧めるのは気が進まない」
「ノルマに追われるのは避けたい」

ご相談をうかがい、ご状況に合う内容をご案内するのが役割です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ ご相談の受付
お問い合わせやご紹介をいただいた方へご連絡します。

■ ヒアリング
ご家族の構成、働き方、将来の予定などをうかがいます。

■ ご状況の整理
うかがった内容をもとに、今の備えを整理します。

■ ご提案
ご状況に合う保障の内容をご説明します。

■ お手続き・アフターフォロー
ご契約後のご連絡やご相談にも対応します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 話を聞くことが仕事の中心です
✔ 資料と手順に沿ってご説明します
✔ ご紹介やお問い合わせからのご相談もあります
✔ 分からないことはその場で確認できます

保険の募集には保険募集人の登録が必要です。登録の進め方は応募後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都墨田区吾妻橋一丁目（本所吾妻橋駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼働き方のポイント✼》

✅ ① 知識は入社後に身につけます
保険や金融の経験がない方を前提にしたお仕事です。

✅ ② 一度で決めていただく仕事ではありません
検討に時間をかけたいというご要望にも合わせて進めます。

✅ ③ ご相談の入口はさまざまです
お問い合わせ、ご紹介など、
ご相談をいただくところから関係がはじまります。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話をじっくり聞ける方
✔ 相手の状況に合わせて考えられる方
✔ 長く関わる仕事を探している方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
江東区,保険営業,東陽町,東京都江東区東陽四丁目,研修からはじまる◎ライフプランから考える保険の営業！,はじめてOK｜保険営業（ライフプラン提案）｜江東区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都江東区で募集中／
「今のままでいいのかな」に応える仕事。
保険の提案営業スタッフ募集◎
✦・━━━━━━━━━━━━━━━・✦

「強く勧めるのは気が進まない」
「ノルマに追われるのは避けたい」

ご相談をうかがい、ご状況に合う内容をご案内するのが役割です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ ご相談の受付
お問い合わせやご紹介をいただいた方へご連絡します。

■ ヒアリング
ご家族の構成、働き方、将来の予定などをうかがいます。

■ ご状況の整理
うかがった内容をもとに、今の備えを整理します。

■ ご提案
ご状況に合う保障の内容をご説明します。

■ お手続き・アフターフォロー
ご契約後のご連絡やご相談にも対応します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 話を聞くことが仕事の中心です
✔ 資料と手順に沿ってご説明します
✔ ご紹介やお問い合わせからのご相談もあります
✔ 分からないことはその場で確認できます

保険の募集には保険募集人の登録が必要です。登録の進め方は応募後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都江東区東陽四丁目（東陽町駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼仕事のすすめ方✼》

✅ ① 知識は入社後に身につけます
保険や金融の経験がない方を前提にしたお仕事です。

✅ ② 一度で決めていただく仕事ではありません
検討に時間をかけたいというご要望にも合わせて進めます。

✅ ③ ご相談の入口はさまざまです
お問い合わせ、ご紹介など、
ご相談をいただくところから関係がはじまります。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話をじっくり聞ける方
✔ 相手の状況に合わせて考えられる方
✔ 長く関わる仕事を探している方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
品川区,保険営業,大井町,東京都品川区広町二丁目,じっくり型歓迎◎ライフプランから考える保険の営業☆,未経験OK｜保険のご案内スタッフ｜品川区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都品川区で募集中／
ご家庭の事情は、ひとつとして同じではありません。
話を聞くところからはじめる保険営業◎
✦・━━━━━━━━━━━━━━━・✦

「説明が難しそう」
「専門用語についていけるか不安」

ご案内の流れと説明する項目は決まっています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ 訪問・面談の日程調整
ご都合をうかがい、面談の日時を決めます。

■ 面談
ご家庭の状況と、気になっていることをうかがいます。

■ 資料の準備
うかがった内容に合わせて、ご案内する資料を用意します。

■ ご説明
保障の内容と、ご負担の考え方をご説明します。

■ 継続的なご連絡
ご契約後も、ご状況の変化にあわせてご相談に応じます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 話を聞くことが仕事の中心です
✔ 資料と手順に沿ってご説明します
✔ ご紹介やお問い合わせからのご相談もあります
✔ 分からないことはその場で確認できます

保険の募集には保険募集人の登録が必要です。登録の進め方は応募後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都品川区広町二丁目（大井町駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼このお仕事の特徴✼》

✅ ① 生活に直結する内容を扱います
ご家庭の備えを一緒に考える仕事です。

✅ ② 進め方の型があります
ヒアリング、整理、ご提案という流れは決まっています。

✅ ③ 長く関わる前提の仕事です
ご契約後のご連絡やご相談も担当します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話をじっくり聞ける方
✔ 相手の状況に合わせて考えられる方
✔ 長く関わる仕事を探している方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
目黒区,保険営業,中目黒,東京都目黒区上目黒二丁目,経験不問◎ライフプランから考える保険の営業✨,未経験歓迎｜保険のご案内スタッフ｜目黒区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都目黒区で募集中／
売り込む前に、まず聞く。
ライフプランから考える保険提案◎
✦・━━━━━━━━━━━━━━━・✦

「説明が難しそう」
「専門用語についていけるか不安」

ご案内の流れと説明する項目は決まっています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ 訪問・面談の日程調整
ご都合をうかがい、面談の日時を決めます。

■ 面談
ご家庭の状況と、気になっていることをうかがいます。

■ 資料の準備
うかがった内容に合わせて、ご案内する資料を用意します。

■ ご説明
保障の内容と、ご負担の考え方をご説明します。

■ 継続的なご連絡
ご契約後も、ご状況の変化にあわせてご相談に応じます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 保険や金融の知識は入社後に身につけます
✔ ご案内の流れと説明する項目は決まっています
✔ 一度の面談で決めていただく仕事ではありません
✔ ご相談をうかがうところからはじまります

保険の募集には保険募集人の登録が必要です。登録の進め方は応募後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都目黒区上目黒二丁目（中目黒駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
気になる点はお気軽にお尋ねください。","《✼ここがはじめやすい✼》

✅ ① 生活に直結する内容を扱います
ご家庭の備えを一緒に考える仕事です。

✅ ② 進め方の型があります
ヒアリング、整理、ご提案という流れは決まっています。

✅ ③ 長く関わる前提の仕事です
ご契約後のご連絡やご相談も担当します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話をじっくり聞ける方
✔ 相手の状況に合わせて考えられる方
✔ 長く関わる仕事を探している方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
大田区,保険営業,蒲田,東京都大田区蒲田五丁目,未経験OK◎ご相談を受けて進める保険のお仕事♪,経験不問｜保険のご案内スタッフ｜大田区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都大田区で募集中／
備えの相談に、時間をかけて向き合う。
未経験からはじめる保険のご案内◎
✦・━━━━━━━━━━━━━━━・✦

「説明が難しそう」
「専門用語についていけるか不安」

ご案内の流れと説明する項目は決まっています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ ご相談の受付（お問い合わせ・ご紹介への対応）

■ ヒアリング（ご家族構成・働き方・将来のご予定）

■ ご状況の整理（今の備えの確認）

■ ご提案（ご状況に合う保障内容のご説明）

■ アフターフォロー（ご契約後のご相談対応）

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 保険や金融の知識は入社後に身につけます
✔ ご案内の流れと説明する項目は決まっています
✔ 一度の面談で決めていただく仕事ではありません
✔ ご相談をうかがうところからはじまります

保険の募集には保険募集人の登録が必要です。登録の進め方は応募後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都大田区蒲田五丁目（蒲田駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
「話を聞いてみたい」だけのご応募も歓迎します。","《✼働き方のポイント✼》

✅ ① 生活に直結する内容を扱います
ご家庭の備えを一緒に考える仕事です。

✅ ② 進め方の型があります
ヒアリング、整理、ご提案という流れは決まっています。

✅ ③ 長く関わる前提の仕事です
ご契約後のご連絡やご相談も担当します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話をじっくり聞ける方
✔ 相手の状況に合わせて考えられる方
✔ 長く関わる仕事を探している方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
世田谷区,保険営業,松陰神社前,東京都世田谷区世田谷四丁目,反響からスタート◎ご相談を受けて進める保険のお仕事◎,はじめてOK｜保険のご案内スタッフ｜世田谷区,"✦・━━━━━━━━━━━━━━━・✦
＼東京都世田谷区で募集中／
「今のままでいいのかな」に応える仕事。
保険の提案営業スタッフ募集◎
✦・━━━━━━━━━━━━━━━・✦

「説明が難しそう」
「専門用語についていけるか不安」

ご案内の流れと説明する項目は決まっています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】

■ ご相談の受付（お問い合わせ・ご紹介への対応）

■ ヒアリング（ご家族構成・働き方・将来のご予定）

■ ご状況の整理（今の備えの確認）

■ ご提案（ご状況に合う保障内容のご説明）

■ アフターフォロー（ご契約後のご相談対応）

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】

✔ 保険や金融の知識は入社後に身につけます
✔ ご案内の流れと説明する項目は決まっています
✔ 一度の面談で決めていただく仕事ではありません
✔ ご相談をうかがうところからはじまります

保険の募集には保険募集人の登録が必要です。登録の進め方は応募後にご案内します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

東京都世田谷区世田谷四丁目（松陰神社前駅エリア）

給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
「話を聞いてみたい」だけのご応募も歓迎します。","《✼仕事のすすめ方✼》

✅ ① 生活に直結する内容を扱います
ご家庭の備えを一緒に考える仕事です。

✅ ② 進め方の型があります
ヒアリング、整理、ご提案という流れは決まっています。

✅ ③ 長く関わる前提の仕事です
ご契約後のご連絡やご相談も担当します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》

✔ 人の話をじっくり聞ける方
✔ 相手の状況に合わせて考えられる方
✔ 長く関わる仕事を探している方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》

✔ 経験・資格は必要ありません
✔ 給与・勤務時間・シフト・待遇の詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
